Company,Company Name for Emails,# Employees,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,NAICS Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,sl_score,sl_obj_similarity,sl_likelihood_answer,sl_likelihood_reason,sl_obj_similarity_normalized,AI custom field 6232,sl_likelihood_score,sl_qc,sl_client
goal10x,goal10x,26,marketing & advertising,http://www.goal10x.com,http://www.linkedin.com/company/goal10x,,,,Bengaluru,Karnataka,India,560002,"Bengaluru, Karnataka, India, 560002","marketing services, sales funnels, timely results, target audience, customer communication strategy, scaling techniques, timely reporting, consulting, marketing planning, roi focus, email marketing, business excellence, strategic guidance, business consulting, assured growth plan, advanced tech, growth metrics tracking, growth strategy, marketing and advertising, business growth, customer retention, performance tracking, organic marketing, growth partner, gtm strategy, lead generation, data-driven insights, guarantee of results, results-driven marketing, competitive analysis, digital marketing, organic traffic, market analysis, continuous optimization, client portfolio, business scaling techniques, consulting services, customer engagement, growth optimization, target market identification, data-centric approach, 24/7 support, algorithm-based promotion, innovation in marketing, b2b, d2c, services, management consulting services, marketing & advertising, management consulting, marketing, sales",+91 99000 97287,"Gmail, Google Apps, Google Cloud Hosting, Varnish, Wix, Mobile Friendly, Google Tag Manager, Facebook Custom Audiences, Facebook Widget, Facebook Login (Connect)",,,,,,,6809c6632f84c3000192ba20,8742,54161,"Goal10X Technology Private Limited is an information services company based in Faridabad, Haryana, India, established on August 11, 2023. The company focuses on enabling significant growth for startups, businesses, and careers. It positions itself as a ""10x growth engine,"" partnering with ambitious individuals and organizations to help scale their ventures.

The target market includes startups, business owners, and professionals who are seeking substantial growth in their enterprises or careers. While specific services are not detailed, the emphasis on growth suggests a focus on consulting, coaching, or technology-enabled solutions for business scaling.",2022,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68c3ad6c53b5280001080c9f/picture,,,,,,,,,,,,,,
Big Bears,Big Bears,36,marketing & advertising,http://www.bigbears.co.in,http://www.linkedin.com/company/bigbearsglobal,https://www.facebook.com/pg/BigBears.co.in,https://twitter.com/BigBearsglobal,10,Secunderabad,Telangana,India,500047,"10, Secunderabad, Telangana, India, 500047","print, corporate films, digital marketing, 360degree services, exhibitions, recruitment advertising, advertising, guerilla marketing, fullfledged digital marketing, outdoors, corporate communication, product & services brands, advertising services, analytics, mobile marketing, brand strategy, web hosting, seo, email marketing, ui/ux design, human-centric digital communication, media and entertainment, research-backed campaigns, hospitality, advertising and marketing, social media marketing, online reputation management, integrated media campaigns, keyword analysis, indian market focus, fmcg, digital services, digital marketing strategy, real estate, website development, content marketing, ppc advertising, creative content production, e-commerce development, retail, healthcare, b2b, e-commerce, d2c, services, advertising agencies, marketing & advertising, information technology & services, marketing, search marketing, leisure, travel & tourism, social media, consumer internet, consumers, internet, web development, health care, health, wellness & fitness, hospital & health care",+91 40 4021 4410,"Gmail, Google Apps, Google Tag Manager, Hotjar, reCAPTCHA, Mobile Friendly, Bootstrap Framework, Basis, AI",,,,,,,680f51223bfe900001e33092,7311,54181,"Big Bears is a creative advertising agency based in Hyderabad, established in 2018. The agency specializes in 360-degree branding, advertising, and marketing services. Led by experienced professionals, Big Bears focuses on delivering original campaigns that help brands thrive in competitive markets. They combine strategic thinking with digital innovation, including the use of Artificial Intelligence and Machine Learning, while maintaining a humanistic approach to communication.

The agency offers a wide range of services, including full-spectrum advertising, brand identity creation, digital marketing campaigns, creative content production, and corporate communication. Their clientele includes various sectors such as retail, entertainment, and hospitality, and they have worked on notable campaigns like the GMR Airport pre-launch. Big Bears emphasizes originality and encourages clients to adopt bold, socially responsible brand communications that resonate with cultural nuances, particularly in the Indian market.",2018,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66dd786872fd370001296be6/picture,,,,,,,,,,,,,,
Do Your Thng,Do Your Thng,13,marketing & advertising,http://www.doyourthng.com,http://www.linkedin.com/company/do-your-thng,https://facebook.com/doyourthng/,https://twitter.com/DoYourThng_,,Gurugram,Haryana,India,122002,"Gurugram, Haryana, India, 122002","influencer marketing, advertising, promotion, marketing, branded content, instagram, creator economy, content creation, influencers, creators, content creators, advertising services, specialty food and beverage, food and beverage manufacturing, small batch coffee, cold brew with tropical fruit, cold brew sachets, specialty cold brew, coffee beans india, single malt aged coffee, coffee community stories, e-commerce retail, cold brew accessories, coffee roasting and processing, single malt barrels, cold brew flavor variants, cold brew with citrus notes, cold brew flavors, 100% arabica beans, cold brew packaging, organic shade-grown coffee, cold brew flavor innovation, cold brew kit, specialty coffee, micro-lot brewing, pre-brewed coffee, cold brew bottles, ready-to-drink coffee, arabica coffee, diy brewing sachets, artisanal coffee, eco-friendly coffee farming, micro-lot coffee, coffee brewing accessories, coffee culture, low acidity coffee, cold brew with irish cream, cold brew recipe tips, coffee subscription, specialty coffee community, artisanal brewing, organic coffee, cold brew coffee, small batch coffee production, b2c, e-commerce, d2c, retail, coffee and tea manufacturing, accessories, marketing & advertising, food & beverage manufacturing, food production, consumer internet, consumers, internet, information technology & services",+91 96540 77755,"Amazon AWS, Gmail, Google Apps, Zendesk, GoDaddy Hosting, Google Tag Manager, Shopify, Mobile Friendly, Micro, Discord, Laravel, Android, React Native, Node.js",300000,Other,150000,2021-04-01,,,68807731dd319f0001a68b2e,2099,31192,"Do Your Thng (DYT) is a company based in Gurugram, Haryana, founded in 2019. It operates as a creator community platform with the goal of democratizing influence and supporting content creators in building sustainable careers. DYT empowers creators to monetize their content while assisting marketers in executing effective influencer marketing campaigns.

The company offers two main solutions: a Creator App that helps creators generate income and engage with their audience, and a Self-Serve Web Desk for marketers that allows brands and agencies to launch and manage influencer marketing campaigns efficiently. DYT serves a diverse clientele, including individual creators, brands looking to promote their products, and marketing agencies managing campaigns. 

With a team of around 22 employees, DYT fosters a culture of innovation in marketing technology and digital media, creating a vibrant ecosystem for collaboration between creators and marketers in India.",2019,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68ce4cd84156c80001e1f90a/picture,,,,,,,,,,,,,,
KMT Silks - India,KMT Silks,25,marketing & advertising,http://www.kmtsilks.com,http://www.linkedin.com/company/kmt-silks---india,,https://twitter.com/kmtsilks,Ems Hospital Road,Perinthalmanna,Kerala,India,679322,"Ems Hospital Road, Perinthalmanna, Kerala, India, 679322","advertising services, special occasion wear, casual ethnic wear, floral patterns, special discounts, fabric quality, ethnic fashion, silk saree kerala, fashion collection, churidhar, traditional clothing, clothing store kerala, lehenga, casual wear, clothing showroom, casual ethnic wear kerala, retail, online shopping platform, festive wear, modern ethnic wear, fashion accessories, ethnic fashion kerala, custom tailoring, cotton kurtas, textile and fabric, ethnic wear kerala, fabric materials, viscose dresses, men's ethnic wear, online shopping, premium ethnic fabrics, bridal wear kerala, women's clothing, store address kerala, special occasion dress kerala, viscose material, ethnic wear, clothing customization, retail clothing, wedding sarees kerala, retail clothing store, traditional sarees kerala, party wear ethnic, sarees, kids ethnic wear, customer satisfaction, mirror work, limited time offers, fashion sale, formal wear, digital print fabrics, handcrafted ethnic wear, organza fabric, clothing stores, mirror work embroidery, lehenga kerala, kurta, latest fashion trends, digital print, festive collection kerala, seasonal collection, kurta set kerala, festive collection, wedding collection, cotton fabric, rayon material, silk fabric, silk sarees, embroidery work, luxury fabrics kerala, kids clothing, clothing retail, kerala clothing store, custom ethnic wear kerala, women's ethnic wear, anarkali, wedding attire, traditional wear, fashion boutique kerala, quality fabrics, custom clothing, latest ethnic fashion kerala, customer service, fashion trends, designer ethnic wear kerala, men's clothing, premium fabrics, apparel and fashion, b2c, e-commerce, d2c, menswear, community, marketing & advertising, consumer internet, consumers, internet, information technology & services, women's apparel, apparel & fashion, communities",+91 99950 10166,"Gmail, Google Apps, DigitalOcean, Django, Google Maps, Mobile Friendly, Apache, Ubuntu, Bootstrap Framework, Google Font API, Shopify, Google Tag Manager, Uipath, Google Workspace, SharePoint",,,,,,,68807765c7dac300019479db,5699,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,,,,,,,,,,,,,,
Growify Digital,Growify Digital,95,marketing & advertising,http://www.growify.in,http://www.linkedin.com/company/growify-studio,,,Fatehpur Beri Main Road,New Delhi,Delhi,India,110074,"Fatehpur Beri Main Road, New Delhi, Delhi, India, 110074","advertising services, customer engagement, luxury brand social media, digital marketing, luxury brand digital strategy, luxury brands, shopify plus, luxury brand website design, strategic partnerships, campaign optimization, roi optimization, sales support, google ads campaigns, conversion optimization, luxury brand customer engagement, digital ecosystem, fashion brand growth, luxury goods, digital strategy, ad campaigns, customer journey mapping, crm integration, fashion brand storytelling, digital advertising, payment gateway integration, tech-enabled agency, luxury brand analytics, customer support, sales operations, market insights, digital innovation, luxury brand branding, performance marketing, digital analytics, email marketing, ad account management, marketing and advertising, order management, website development, campaign tracking, omnichannel marketing, logistics management, e-commerce solutions, digital branding, mobile responsive design, fashion, visual branding, premium fashion marketing, fashion influencer collaborations, luxury brand seo, market research, fashion e-commerce platform, social media advertising, client success, client management, luxury product photography, high fashion digital campaigns, india luxury e-commerce, brand elevation, klaviyo email marketing, digital growth, e-commerce, social media management, razorpay payments, growth hacking, website optimization, brand awareness, performance analytics, brand storytelling, luxury brand storytelling, fashion influencer marketing, luxury fashion content marketing, high-end fashion marketing, premium brand advertising, order fulfillment, marketing automation, meta advertising, luxury fashion, data-driven marketing, e-commerce growth, targeted advertising, india fashion industry, brand positioning, payment collection, user experience design, content creation, targeted campaigns, fashion brands, platform integrations, seo marketing, b2b, b2c, d2c, services, retail, management consulting services, online presence, user experience, marketing & advertising, marketing, web development, information technology & services, consumer internet, consumers, internet, apparel & fashion, saas, computer software, enterprise software, enterprises, seo, search marketing, ux",,"Gmail, Google Apps, Amazon AWS, Instantly, Facebook Custom Audiences, Facebook Login (Connect), Mobile Friendly, Facebook Widget, Shopify, Google Tag Manager, Google AdWords Conversion, Android, Remote",,,,,,,68807b1a2118b40001cfd338,7375,54161,"Growify Digital is an e-commerce growth agency located in Delhi, India, focusing on the luxury, fashion, and lifestyle sectors. Founded in 2022, the agency acts as a sales-oriented digital marketing partner for fashion brands, aiming to enhance e-commerce growth through a comprehensive, tech-enabled approach.

The company manages the entire digital sales ecosystem for its clients, which includes website development, digital account management, targeted advertising campaigns, and order fulfillment coordination. Growify Digital operates on a performance-based revenue model, earning commissions tied to client sales success. Their services encompass digital marketing, social media management, and customer support, utilizing advanced marketing technologies and platforms like Meta, Google, and Shopify Plus.

With a team of 51-200 employees, Growify Digital emphasizes building long-term partnerships with luxury and fashion brands, including notable names like Tarun Tahiliani. The agency is committed to transparent business practices and innovative marketing strategies, helping clients thrive in the competitive e-commerce landscape.",2019,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68c94a3f5fcdeb0001b887fc/picture,,,,,,,,,,,,,,
GroCat,GroCat,18,marketing & advertising,http://www.grocat.in,http://www.linkedin.com/company/grocatdigital,,https://twitter.com/grocatdigital,Varthur Main Road,Bengaluru,Karnataka,India,560037,"Varthur Main Road, Bengaluru, Karnataka, India, 560037","seo, performance marketing, content marketing, web design, development, social media marketing, online reputation management, marketing compaigns, programmatic advertising, shopify development, webflow development, advertising services, healthcare, web design & development, customer engagement, digital marketing, education, lead generation, information technology and services, influencer marketing, marketing and advertising, content writing, ai-powered marketing, local seo, analytics and reporting, enterprise seo, roi optimization, data-driven strategies, e-commerce seo, e-commerce, b2b, d2c, consulting, services, retail, management consulting services, information technology & services, search marketing, marketing, marketing & advertising, consumer internet, consumers, internet, health care, health, wellness & fitness, hospital & health care, education management, sales, writing & editing, social media",+91 87925 59215,"Gmail, Google Apps, Amazon AWS, Google Tag Manager, Linkedin Marketing Solutions, Mobile Friendly, Google Font API, Bing Ads",,,,,,,6880e7088ecefe00013108be,7371,54161,"GroCat : Your Growth Partner in the Digital Landscape

With a rich history spanning 14 years and over 650 successful projects under our belt, GroCat stands as a testament to our commitment to excellence in the digital realm. Our mission is straightforward: To provide exceptional digital marketing services at a price point that is accessible to all businesses, regardless of size or budget.

Our service offerings are comprehensive, covering all facets of digital marketing:

SEO (Search Engine Optimization): Crafting data-driven strategies to enhance your website's visibility and drive targeted traffic.

Web Design & Development: Creating visually appealing, user-friendly websites optimized for conversion.

Performance Marketing: Leveraging targeted advertising campaigns to maximize ROI.

Social Media Management: Building and nurturing engaging social media presences to foster meaningful connections with your audience.

Content Management: Developing compelling, high-quality content that resonates with your target audience and establishes your brand as a thought leader.

Online Reputation Management: Safeguarding and enhancing your online reputation to maintain a positive brand image.

What sets GroCat apart is our unwavering commitment to our clients' success. Our unique value proposition is rooted in several key pillars:

Proven Track Record: With over a decade of industry experience and a robust portfolio of successful projects, we possess the expertise and insights needed to navigate the complexities of the digital landscape.

Data-Driven Approach: We utilize data and analytics to tailor our strategies to your specific business needs and goals.

Transparent Communication: We believe in open and honest communication, keeping you informed every step of the way.

Focus on Client Growth: Our success is tied to yours. We are committed to helping you achieve sustainable growth and reach your full online potential.

Partner with GroCat  and let us be your trusted guide.",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68c7c25c5de769000183d6cf/picture,,,,,,,,,,,,,,
Aaditya Consulting Services,Aaditya Consulting Services,14,marketing & advertising,http://www.aadityaconsulting.com,http://www.linkedin.com/company/aaditya-consulting-services,,,,Hubballi-Dharwad,Karnataka,India,580032,"Hubballi-Dharwad, Karnataka, India, 580032","advertising services, marketing & advertising",,"Bootstrap Framework, Mobile Friendly",,,,,,,68d02446e2a3d900015915ea,,,"Aaditya Consulting Services. We are a company catering to the needs of Manpower requirements, IT infrastructure management and financial services to small and medium enterprise. Our focus is on raising productivity through improved quality and efficiency thus enabling clients to concentrate on their core business activities. We customize our services to suit our client's needs. Having based ourselves on the features demanded by our clients, we have created innovative and customized solutions.",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66f0e115bfac6c000143326f/picture,,,,,,,,,,,,,,
Achievers Global,Achievers Global,17,marketing & advertising,http://www.achieversglobal.net,http://www.linkedin.com/company/achievers-global,,,,,Uttar Pradesh,India,201301,"Uttar Pradesh, India, 201301","advertising services, marketing & advertising",,"Amazon AWS, Apache, Google Font API, Mobile Friendly, WordPress.org, Google AdSense, Nginx, DoubleClick",,,,,,,68d02446e2a3d900015915f3,,,"ACHIEVERS GLOBAL's  aim is to reach out to the customer by going the extra mile, while optimizing income opportunities. Our organization is intended to",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,,,,,,,,,,,,,,
Ahoy Telecom Private Limited,Ahoy Telecom Private,14,marketing & advertising,http://www.ahoy.co.in,http://www.linkedin.com/company/ahoy-telecom-creations-llp,https://facebook.com/ahoydeals,https://twitter.com/AhoyTelecom,,Noida,Uttar Pradesh,India,201307,"Noida, Uttar Pradesh, India, 201307","telecom vas products solutions, marketing amp advertising, web solutions, serving connected users, marketing advertising, mobile applications, telecom vas products amp solutions, advertising services, nginx, configuration, support, web server, nginx.org, nginx.com, installation, online documentation, commercial support, mobile apps, marketing & advertising",+91 12 0457 4737,"Mobile Friendly, Nginx, Ubuntu, WordPress.org, Google translate API, Google Workspace, TikTok, Render, ",,,,,1200000,,68d02446e2a3d90001591601,7380,,"Ahoy is founded on an Incredible Vision of Empowering & Enriching End User in an Open Telecom World. 

We are a fully committed to bring Cheer and Value to the customers via our Innovative Telecom, Advertising Products & Solutions.

In short span of 2 years:
+ We created a team of 40+.firebrands with passion to perform

+ We have built list of core products from scratch to address demands of our customers

+ We were rated as the Best Startup of 2011 by leading VCs in India at Startup City organized by SiliconIndia.

+ Selected by SAP AG as one of disruptive company from APAC for HANA platform Integration",2011,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/673462097a42870001e2528c/picture,Moving Walls (movingwalls.com),,,,,,,,,,,,,
RN Sports Marketing,RN Sports Marketing,18,marketing & advertising,http://www.rnsportsmarketing.com,http://www.linkedin.com/company/rishi-narain-golf-management,https://facebook.com/rishinaraingolf,https://twitter.com/rnsm_official,,Gurugram,Haryana,India,122102,"Gurugram, Haryana, India, 122102","sports marketing, advertising services, golf tournament logistics, media and publishing, india golf expo, louis philippe cup, golf tournaments india, golf industry, sports sponsorship, sponsorship management, golf marketing strategies, brand activation, event conceptualization, golf development, india learn golf week, golf course consulting, golf tourism promotion, golf industry conferences, sports sponsorship and promotion, golf digest india, golf event organization, customer engagement, golf development campaigns, corporate golf events, golf sponsorships, golf tournaments, event execution, event management, brand visibility, international golf initiatives, corporate golf, golf magazine, amateur golf events, media mileage, golf event branding, sports marketing and event management, golf media, golf promotion, pro golf tournaments, golf sponsorships india, golf magazine publishing, golf industry partnerships, b2b, services, management consulting services, marketing & advertising, events services",+91 98994 99064,"Gmail, Google Apps, Amazon AWS, Amazon SES, Google Font API, Facebook Login (Connect), Mobile Friendly, Linkedin Marketing Solutions, Google Maps, Apache, Google Tag Manager, YouTube, reCAPTCHA, WordPress.org, Facebook Custom Audiences, Bootstrap Framework, Facebook Widget, Micro",,,,,,,68d02446e2a3d90001591603,7389,54161,"RN Sports Marketing (RNSM), founded in 2004 by Rishi Narain, is a prominent sports marketing and management company in India, with a strong focus on golf. Headquartered in Gurugram, RNSM has established itself as a leader in the Indian and Asian golf industry by creating intellectual properties and organizing significant events. The company employs between 10 to 49 people.

RNSM's core services include sports marketing, event conceptualization, and implementation. They organize the India Golf Expo, the largest golf industry gathering in South Asia, and manage various golf tournaments across India, Asia, Europe, and the USA. Additionally, RNSM publishes Golf Digest India, the Indian edition of the popular golf magazine. The company has successfully raised around $70 million in sponsorships, partnering with major brands like Mercedes Benz and Audi to enhance brand positioning through golf. Under Rishi Narain's leadership, RNSM has become known for its innovative approach and excellence in sports marketing.",2004,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68ca71c382d9610001c9a81c/picture,,,,,,,,,,,,,,
